title,normal_price,discount_price,product_url,image_url,status,error_message
"Detergente Sanitário Bloco Para Caixa Acoplada Marine Pato 40g","2499","","https://www.ifood.com.br/delivery/brasilia-df/pao-de-acucar---aguas-claras-sul-aguas-claras/5938ca36-c5ee-455b-b0ce-8211f1921be5?item=28bcc62b-fd4a-453d-8ad8-d1a77d83d849","","success",""
"Desinfetante Sanitário em Gel Harpic Marine 750ml","1759","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---giovani-gronchi-vila-andrade/26dc0387-2264-4566-9f53-0d8b3bdbd994?item=1a11e5fc-4875-41db-9bdf-c51d0d01a0b7","","success",""
"Pastilha Adesiva Citrus Harpic 3un","1272","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---giovani-gronchi-vila-andrade/26dc0387-2264-4566-9f53-0d8b3bdbd994?item=37c0dcca-764a-4384-aba9-64a163861c19","","success",""
"Kit Desodorizador Sanitário Caixa Acoplada Marine Pato 40g 2un","2874","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---giovani-gronchi-vila-andrade/26dc0387-2264-4566-9f53-0d8b3bdbd994?item=3b6a29bf-f5e6-43fc-8ebf-755057bdc4fc","","success",""
"Jontex Neutro Lubrificante Íntimo Jontex Neutro - Sem Sabor - 50g","3099","","https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=7eee89f4-d288-4359-bdec-af153310d8a8","","success",""
"Preservativo Sem Látex - Olla Prazer da Pele","1899","","https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=76cd1a75-125d-4d40-9951-c4c640b2dc21","","success",""
"Creme Depilatório Corporal Argan Oil Depiroll Embalagem 100g","3999","","https://www.ifood.com.br/delivery/sao-paulo-sp/drogaria-sao-paulo---clodomiro-amazonas-vila-nova-conceicao/b8a2484a-8e45-4b9f-b32b-a7963d2d6e71?item=5e177c68-dd73-4fcd-9b39-a3c1df38b9da","","success",""
"Limpador Limpeza Pesada Bicarbonato Com Álcool Limão Veja Power Fusion Frasco 950ml","2406","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---pamplona-jardim-paulista/0568e774-7ba8-493c-a842-ac4d72546220?item=fb7526a0-3328-4bde-83a3-0a1900d53448","","success",""
"Desinfetante Multisuperficies Power Action Pinho Squeeze Veja 500ml","1118","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---pamplona-jardim-paulista/0568e774-7ba8-493c-a842-ac4d72546220?item=bc7b2e3d-1b18-4132-a3cd-23e6719f50fd","","success",""
"Desodorizador Sanitário Pastilha Adesiva Lavanda Pato 3un","982","","https://www.ifood.com.br/delivery/porto-alegre-rs/carrefour-hiper---porto-alegre-partenon/51b9e02a-74a8-4afc-8450-8094ae3318fa?item=b53b6714-e0f9-4d03-99cd-827038cba6d3","","success",""
"Desinfetante Multiuso Power Fusion Coco Veja 500ml","1499","","https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/pao-de-acucar---colinas-jardim-das-colinas/ade17d26-7f09-4a6f-966b-c6f29df14d9a?item=9b2f1845-a4cb-4814-9019-f1d31ff43dca","","success",""
"Naldecon Noite com 24 Comprimidos","6746","","https://www.ifood.com.br/delivery/sao-paulo-sp/drogaria-sao-paulo---clodomiro-amazonas-vila-nova-conceicao/b8a2484a-8e45-4b9f-b32b-a7963d2d6e71?item=70a2815e-0a30-4727-933c-cef50a846b83","","success",""
"Desinfetante Sanitário Harpic Cloro Ativo 750ml","1129","","https://www.ifood.com.br/delivery/porto-alegre-rs/carrefour-hiper---porto-alegre-partenon/51b9e02a-74a8-4afc-8450-8094ae3318fa?item=ce99751e-71c6-4199-bfcf-2c2c271af07a","","success",""
"Dorflex uno dipirona monoidratada 1g com 20 comprimidos","3031","","https://www.ifood.com.br/delivery/sao-paulo-sp/droga-raia---vila-olimpia---b---403-vl-olimpia/58203d97-5c99-4d2c-b2ff-c2adac85c72a?item=d52f4835-c0c8-44dc-b234-2b4fd4afe41d","","success",""
"Limpador Spray Anti Bac Veja Banheiro Oxi 500ml","4790","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---pamplona-jardim-paulista/0568e774-7ba8-493c-a842-ac4d72546220?item=2212ad64-dc03-4a4e-8a06-fbe7e1d2bc6d","","success",""
"Preservativo Extra Fino 3 Unidades - Olla Sensitive","1759","","https://www.ifood.com.br/delivery/sao-paulo-sp/drogaria-sao-paulo---clodomiro-amazonas-vila-nova-conceicao/b8a2484a-8e45-4b9f-b32b-a7963d2d6e71?item=b0eea514-620c-4c1f-aa84-a883a2645e0e","","success",""
"Naldecon Noite com 4 Comprimidos","1549","","https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=c070ba40-f1f8-43f0-b08a-470c312ce5be","","success",""
"Preservativo Lubrificado 3 Preservativos - Olla Play","799","","https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=62dc67e0-31fb-4f88-8274-8f6e42d19f23","","success",""
"Limpador Veja Multiuso Campestre 500ml Oferta","471","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---giovani-gronchi-vila-andrade/26dc0387-2264-4566-9f53-0d8b3bdbd994?item=fb40cf23-c608-4e3e-ad81-a647316c2fa5","","success",""
"Limpador Perfumado Veja Gotas de Perfume Lavanda 100ml","1231","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---pamplona-jardim-paulista/0568e774-7ba8-493c-a842-ac4d72546220?item=90669803-6ced-4393-9d50-51bc930a9c03","","success",""
"Fórmula Infantil Ninho Fases 1+ Nestlé 1 a 3 Anos 800g","4762","","https://www.ifood.com.br/delivery/porto-alegre-rs/carrefour-hiper---porto-alegre-partenon/51b9e02a-74a8-4afc-8450-8094ae3318fa?item=be8495db-a1e9-490d-aa5d-8fe75d7ae1b3","","success",""
"Preservativo Lubrificado 3 Preservativos - Olla Play","822","","https://www.ifood.com.br/delivery/sao-paulo-sp/droga-raia---vila-olimpia---b---403-vl-olimpia/58203d97-5c99-4d2c-b2ff-c2adac85c72a?item=66dc8adf-536c-492f-99b8-ec41232f3b8c","","success",""
"Gel Lubrificante Íntimo -50g Jontex Sensação Pele com Pele","3999","","https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=2653b1ad-1499-461a-b066-d49eae4716bd","","success",""
"Limpa Vidro Veja Vidrex Tradicional 500ml","1762","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---pamplona-jardim-paulista/0568e774-7ba8-493c-a842-ac4d72546220?item=f22e5cfd-ba5e-4ea2-880d-942412fe65c9","","success",""
"Limpador Veja Multiuso Lavanda e Álcool 500ml Oferta","579","","https://www.ifood.com.br/delivery/brasilia-df/pao-de-acucar---aguas-claras-sul-aguas-claras/5938ca36-c5ee-455b-b0ce-8211f1921be5?item=744eb716-7a17-456b-9eef-793524807369","","success",""
"Super Desengordurante Power Gel Limão Veja 500g","2033","","https://www.ifood.com.br/delivery/brasilia-df/carrefour-hiper---asa-norte-asa-norte/1dcd9511-ab36-416b-b32f-65ca7b793be0?item=c03a6ea5-c384-4f01-b24c-f127be0f1acb","","success",""
"Analgésico luftafem 12 comprimidos - ibuprofeno e paracetamol","3099","","https://www.ifood.com.br/delivery/sao-paulo-sp/drogaria-sao-paulo---clodomiro-amazonas-vila-nova-conceicao/b8a2484a-8e45-4b9f-b32b-a7963d2d6e71?item=bc352e8b-a3c1-4155-bb4e-67fbc0c8ecd4","","success",""
"Limpador de Banheiro Spray Antibac Lavanda Veja 500ml","3061","","https://www.ifood.com.br/delivery/brasilia-df/carrefour-hiper---asa-norte-asa-norte/1dcd9511-ab36-416b-b32f-65ca7b793be0?item=c99be979-e823-4f26-a7e7-fe693b90e69a","","success",""
"Limpador Anti Bac Veja Banheiro Oxi 500ml","2406","","https://www.ifood.com.br/delivery/porto-alegre-rs/carrefour-hiper---porto-alegre-partenon/51b9e02a-74a8-4afc-8450-8094ae3318fa?item=720a22b0-90d7-4a38-b78d-a6475f217c11","","success",""
"Luftal Gel Caps Simeticona Antigases 125mg 10un","3244","","https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=1a853753-07fd-4a37-b89b-d7a59f61aa1d","","success",""
"Folhas de Cera Depilatória para Axilas e Virilha Veet Pure & Fresh Pele Delicada 16 Unidades","6399","","https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=c3ac5066-5a56-475c-bd50-4abd6c6f9a56","","success",""
"Luftal Gotas 15ml","3551","","https://www.ifood.com.br/delivery/sao-paulo-sp/drogaria-sao-paulo---clodomiro-amazonas-vila-nova-conceicao/b8a2484a-8e45-4b9f-b32b-a7963d2d6e71?item=a45a8a39-daf5-4dbc-9c9d-aa9b1db2c06e","","success",""
"Fórmula Infantil Nestogeno 6 A 12 Meses 800g","5999","","https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=bc0fb20a-5dd6-4728-8a84-d3241337db72","","success",""
"Limpador para Limpeza Pesada Cloro Ativo Veja 1l","2699","","https://www.ifood.com.br/delivery/brasilia-df/pao-de-acucar---aguas-claras-sul-aguas-claras/5938ca36-c5ee-455b-b0ce-8211f1921be5?item=ff29cf6c-7516-4859-a952-0dba7a089e8b","","success",""
"Presevativo Prudence Efeito Retardante Leve 8 Pague 6","2693","","https://www.ifood.com.br/delivery/sao-paulo-sp/droga-raia---vila-olimpia---b---403-vl-olimpia/58203d97-5c99-4d2c-b2ff-c2adac85c72a?item=9a47402e-0bc9-455e-badc-46877969352e","","success",""
"Desinfetante Para Uso Geral Cloro Gel Marine Poderosa Espumação Pato 500ml","2089","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---pamplona-jardim-paulista/0568e774-7ba8-493c-a842-ac4d72546220?item=5b12feae-cb4d-4d41-8228-52bc7155d6dd","","success",""
"Formula Infantil Nan Sensitive 800g","14859","","https://www.ifood.com.br/delivery/sao-paulo-sp/drogaria-sao-paulo---clodomiro-amazonas-vila-nova-conceicao/b8a2484a-8e45-4b9f-b32b-a7963d2d6e71?item=952ba11b-7b2a-4e3b-b049-61d8fe4f470b","","success",""
"Tira Manchas Em Pó Oxi Action Para Roupas Coloridas Refil Econômico Vanish 400g","2299","","https://www.ifood.com.br/delivery/campinas-sp/pao-de-acucar---campinas-souza-souzas/356eaf9b-8433-413a-a546-48d319ea69f8?item=83cd62e5-d12a-4738-9c71-403fbab99377","","success",""
"Limpador Perfumado Veja Gotas de Perfume Alecrim 100ml","1549","","https://www.ifood.com.br/delivery/campinas-sp/pao-de-acucar---campinas-souza-souzas/356eaf9b-8433-413a-a546-48d319ea69f8?item=8df33fef-ae65-4311-a05e-b04225aedd39","","success",""
"Tira Manchas Em Pó Crystal White Oxi Action Para Roupas Brancas Refil Econômico Vanish 1kg","5990","","https://www.ifood.com.br/delivery/brasilia-df/pao-de-acucar---aguas-claras-sul-aguas-claras/5938ca36-c5ee-455b-b0ce-8211f1921be5?item=244c400b-7da1-4f8a-bb8a-248fe5f8df16","","success",""
"Naldecon Multi Blister 4 Comprimidos","1179","","https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=5f1b1626-54f6-4f31-a4d6-d1eb1eba490d","","success",""
"Limpador Perfumado Lavanda Veja 30% 500ml","649","","https://www.ifood.com.br/delivery/campinas-sp/pao-de-acucar---campinas-souza-souzas/356eaf9b-8433-413a-a546-48d319ea69f8?item=6df36fb9-3ff4-43dd-bc78-a2f09538310b","","success",""
"Creme Depilatório Veet Pure & Fresh Peles Delicadas 100ml","6299","","https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=6bb105f4-ef67-44f7-b812-0105a7c04106","","success",""
"Desinfetante Multisuperficies Power Action Pinho Veja 1l","1499","","https://www.ifood.com.br/delivery/campinas-sp/pao-de-acucar---campinas-souza-souzas/356eaf9b-8433-413a-a546-48d319ea69f8?item=7dbeb0d1-572f-429c-aeb8-b2e5e2ae033e","","success",""
"Tira Manchas em Pó Vanish Multi Power Oxi Action Refil Econômico Para Roupas Coloridas 1kg","5990","","https://www.ifood.com.br/delivery/brasilia-df/pao-de-acucar---aguas-claras-sul-aguas-claras/5938ca36-c5ee-455b-b0ce-8211f1921be5?item=415f9047-ea9e-46e3-804b-aa1e9c3aad8e","","success",""
"Fórmula Infantil Aptamil Premium 1 800g 06 Meses","7424","","https://www.ifood.com.br/delivery/brasilia-df/carrefour-hiper---asa-norte-asa-norte/1dcd9511-ab36-416b-b32f-65ca7b793be0?item=d792d01c-c991-4d08-a4d5-3bcdccd6827b","","success",""
"Detergente Lava Louças em Pó Finish 450g","3399","","https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/pao-de-acucar---colinas-jardim-das-colinas/ade17d26-7f09-4a6f-966b-c6f29df14d9a?item=f88ca16a-d1cf-4810-924b-4753e53d54cd","","success",""
"Secante Abrilhantador Para Máquina de Lavar Louças Cif 100ml","2067","","https://www.ifood.com.br/delivery/porto-alegre-rs/carrefour-hiper---porto-alegre-partenon/51b9e02a-74a8-4afc-8450-8094ae3318fa?item=d8cd1c34-87f3-48ec-9280-4c5c46e1fe2d","","success",""
"Preservativo blowtex skyn original com 06 unidades","3559","","https://www.ifood.com.br/delivery/sao-paulo-sp/drogaria-sao-paulo---clodomiro-amazonas-vila-nova-conceicao/b8a2484a-8e45-4b9f-b32b-a7963d2d6e71?item=cfc895e0-957b-49ea-b093-d8b9a92c3017","","success",""
"Limpador Limpeza Pesada com Cloro e Detergente Eucalipto Veja Power Fusion Frasco 1l","1807","","https://www.ifood.com.br/delivery/brasilia-df/carrefour-hiper---asa-norte-asa-norte/1dcd9511-ab36-416b-b32f-65ca7b793be0?item=34dca16d-45e1-437f-bd74-0fdb0d971d52","","success",""
"Limpador Para Limpeza Pesada Campestre Veja 1l","1887","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---giovani-gronchi-vila-andrade/26dc0387-2264-4566-9f53-0d8b3bdbd994?item=329003ba-7ee9-43d5-8486-10fe633c47fc","","success",""
"Preservativo blowtex skyn elite com 6 unidades","4299","","https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=caeef8d4-7d68-4f92-a2bf-2461e9e7150b","","success",""
"Limpador Desengordurante Cozinha Lavanda Veja Sachê 400ml","1423","","https://www.ifood.com.br/delivery/brasilia-df/carrefour-hiper---asa-norte-asa-norte/1dcd9511-ab36-416b-b32f-65ca7b793be0?item=f342a82d-0d1c-4e6d-9c73-83c66f5f46d8","","success",""
"Desodorizador Sanitário Harpic Click Gel Brisa Do Mar 3un","1949","","https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/pao-de-acucar---colinas-jardim-das-colinas/ade17d26-7f09-4a6f-966b-c6f29df14d9a?item=0e53aa0c-11b1-4b42-a10e-6d2a2313479a","","success",""
"Limpador Multiuso Power Fusion Laranja Veja 500ml","1049","","https://www.ifood.com.br/delivery/brasilia-df/pao-de-acucar---aguas-claras-sul-aguas-claras/5938ca36-c5ee-455b-b0ce-8211f1921be5?item=e4ecd754-45be-493d-a43a-aa2c5d43516c","","success",""
"Limpador Para Banheiro X14 Tira Limo Refil Veja 500ml","3197","","https://www.ifood.com.br/delivery/porto-alegre-rs/carrefour-hiper---porto-alegre-partenon/51b9e02a-74a8-4afc-8450-8094ae3318fa?item=b7a3ab3c-3d34-46d0-8837-9d43b585a694","","success",""
"Limpador Banheiro Antibac Veja Sachet 400ml","1603","","https://www.ifood.com.br/delivery/porto-alegre-rs/carrefour-hiper---porto-alegre-partenon/51b9e02a-74a8-4afc-8450-8094ae3318fa?item=4ef350af-1d5d-461b-bf1b-54b4eafd846a","","success",""
"Limpador Multiuso Power Fusion Laranja Veja 500ml","778","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---giovani-gronchi-vila-andrade/26dc0387-2264-4566-9f53-0d8b3bdbd994?item=972efbb7-32b9-4e9d-bdd9-20f779a1eaea","","success",""
"Kit Desodorizador Sanitário Caixa Acoplada Marine Pato 40g 2un","3199","","https://www.ifood.com.br/delivery/sao-jose-dos-campos-sp/pao-de-acucar---colinas-jardim-das-colinas/ade17d26-7f09-4a6f-966b-c6f29df14d9a?item=d0e0f157-b2f2-4bca-b32d-0383bbc9ab09","","success",""
"Limpa Vidros Spray Vidrex Cristal Veja 500ml","3355","","https://www.ifood.com.br/delivery/brasilia-df/carrefour-hiper---asa-norte-asa-norte/1dcd9511-ab36-416b-b32f-65ca7b793be0?item=50963714-76c7-4a13-be1c-99f7439a9810","","success",""
"Limpador Para Limpeza Pesada Original Veja 1l","1887","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---giovani-gronchi-vila-andrade/26dc0387-2264-4566-9f53-0d8b3bdbd994?item=6e48a7c0-0da2-4390-91b4-fe7a71216012","","success",""
"Pedra Sanitária Harpic Lavanda Super Economia 25g","479","","https://www.ifood.com.br/delivery/brasilia-df/pao-de-acucar---aguas-claras-sul-aguas-claras/5938ca36-c5ee-455b-b0ce-8211f1921be5?item=8b8c5ecb-5363-4c81-a02c-83c3eb48740b","","success",""
"Preservativo Lubrificado Mais Largo - 6 Unidades Jontex Xl","2459","","https://www.ifood.com.br/delivery/sao-paulo-sp/drogaria-sao-paulo---clodomiro-amazonas-vila-nova-conceicao/b8a2484a-8e45-4b9f-b32b-a7963d2d6e71?item=605c1372-00ff-4d67-9d23-af87f88ce1c5","","success",""
"Cera Fria Veet Pure & Fresh Peles Delicadas 16un","2881","","https://www.ifood.com.br/delivery/sao-paulo-sp/droga-raia---vila-olimpia---b---403-vl-olimpia/58203d97-5c99-4d2c-b2ff-c2adac85c72a?item=fdbcd220-ad5c-400a-aecc-02ce9ef984dd","","success",""
"Limpa Vidro Veja Vidrex Tradicional 500ml","1449","","https://www.ifood.com.br/delivery/brasilia-df/pao-de-acucar---aguas-claras-sul-aguas-claras/5938ca36-c5ee-455b-b0ce-8211f1921be5?item=a87b06ea-fe97-4ea6-8c39-aaf52c949ace","","success",""
"Suplemento Alimentar Nutren Kids Baunilha 350g","3379","","https://www.ifood.com.br/delivery/porto-alegre-rs/carrefour-hiper---porto-alegre-partenon/51b9e02a-74a8-4afc-8450-8094ae3318fa?item=033983a8-3882-48f5-ae5f-7cf0c0e223d4","","success",""
"Detergente Para Lava Louças em Tabletes Finish Com 30un","7683","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---pamplona-jardim-paulista/0568e774-7ba8-493c-a842-ac4d72546220?item=c10261ec-865a-4d18-9a17-1fe3dd04e3bc","","success",""
"Tira Manchas Em Pó Oxi Action Para Roupas Coloridas Refil Econômico Vanish 400g","2818","","https://www.ifood.com.br/delivery/brasilia-df/carrefour-hiper---asa-norte-asa-norte/1dcd9511-ab36-416b-b32f-65ca7b793be0?item=7daab7ab-8dbf-462a-9880-168ed7c8b5fe","","success",""
"Tira Manchas em Pó Vanish Multi Power Oxi Action 900g para Roupas Coloridas com 25% de Desconto","7990","","https://www.ifood.com.br/delivery/brasilia-df/pao-de-acucar---aguas-claras-sul-aguas-claras/5938ca36-c5ee-455b-b0ce-8211f1921be5?item=b2c7c933-7c9c-4408-b104-ed7e2077ad8f","","success",""
"Preservativo Anatômico Sem Uso de Látex Jontex Pele com Pele","3699","","https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=bc35ab03-01b1-4050-b515-e19e20c85095","","success",""
"Limpador Veja com Álcool Limpeza Pesada Original 500ml","1749","","https://www.ifood.com.br/delivery/brasilia-df/pao-de-acucar---aguas-claras-sul-aguas-claras/5938ca36-c5ee-455b-b0ce-8211f1921be5?item=03b5a1a3-e8f8-4b49-8112-70f868e8db4b","","success",""
"Tira Manchas Super Barra Para Roupas Coloridas Vanish 75g","666","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---pamplona-jardim-paulista/0568e774-7ba8-493c-a842-ac4d72546220?item=031ac06f-e0e7-4cf0-9b8c-93101ef0ba5f","","success",""
"Detergente Para Lava Louças em Pó Finish 1kg","6990","","https://www.ifood.com.br/delivery/brasilia-df/pao-de-acucar---aguas-claras-sul-aguas-claras/5938ca36-c5ee-455b-b0ce-8211f1921be5?item=cf262d77-a067-4ea3-977d-2b5c098b0605","","success",""
"Tira Manchas Resolv Pré Lavagem Para Roupas Coloridas Vanish 450ml","2689","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---giovani-gronchi-vila-andrade/26dc0387-2264-4566-9f53-0d8b3bdbd994?item=8b9d34d1-6963-43ac-99ac-513e55ad806a","","success",""
"Fórmula Infantil Para Lactentes 6 A 12 Meses Nan Supreme Pro Lata 800g","11927","","https://www.ifood.com.br/delivery/sao-paulo-sp/droga-raia---vila-olimpia---b---403-vl-olimpia/58203d97-5c99-4d2c-b2ff-c2adac85c72a?item=cb537393-5aeb-4d48-9404-1f239a22b399","","success",""
"Luftal 40mg Reckitt Benckiser Caixa com 20 Comprimidos","5069","","https://www.ifood.com.br/delivery/fortaleza-ce/farmacias-pague-menos---52-aldeota/8387b06c-6ac0-42b9-860c-8debae36d8fd?item=c5378832-dcf1-4d77-9471-29ed7cc79fb4","","success",""
"Benegrip com 6 Comprimidos","1659","","https://www.ifood.com.br/delivery/sao-paulo-sp/droga-raia---vila-olimpia---b---403-vl-olimpia/58203d97-5c99-4d2c-b2ff-c2adac85c72a?item=d7fd0c84-f635-4589-a687-f6bdb556e12c","","success",""
"Tira Manchas em Barra Vanish Roupas Brancas 75g","666","","https://www.ifood.com.br/delivery/sao-paulo-sp/carrefour-hiper---pamplona-jardim-paulista/0568e774-7ba8-493c-a842-ac4d72546220?item=100b493e-ebe0-4d05-9cd6-c4123cd1e019","","success",""
"Luftagastropro Líquido Reckitt Benckiser 10ml","490","","https://www.ifood.com.br/delivery/sao-paulo-sp/droga-raia---vila-olimpia---b---403-vl-olimpia/58203d97-5c99-4d2c-b2ff-c2adac85c72a?item=ca3ff2a1-843a-4947-b639-93af125e70c2","","success",""
"Limpador Banheiro Sem Cloro Cif Gatilho 500ml","2089","","https://www.ifood.com.br/delivery/porto-alegre-rs/carrefour-hiper---porto-alegre-partenon/51b9e02a-74a8-4afc-8450-8094ae3318fa?item=b26fd217-1357-4cd1-829b-f5331d3e14d4","","success",""
